customer_id,line_id,product_type,agreement_number,eip_imei,usage_imei,imei_mismatch_flag,missing_usage_imei_flag,eip_mismatch_flag,upstream_friction_risk_flag,imei_anomaly_type
C0000114,LINE-000000309,voice,EIP-7514683834,431016857711636.0,955626698216288.0,1,0,0,1,imei_mismatch_swap
C0000120,LINE-000000321,voice,EIP-2913443724,617505122845716.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000126,LINE-000000332,voice,EIP-3710857651,662614252498225.0,391044546225360.0,1,0,0,1,
C0000134,LINE-000000349,voice,EIP-7724658645,185357881838802.0,576047386981689.0,1,0,0,1,
C0000137,LINE-000000358,5g_home_internet,EIP-8069501786,594171159550272.0,249988228696023.0,1,0,0,1,
C0000155,LINE-000000400,voice,EIP-3402664166,207705286014311.0,651628812330635.0,1,0,0,1,
C0000168,LINE-000000430,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000168,LINE-000000432,voice,EIP-8966649472,914200499329053.0,308710697261728.0,1,0,0,1,imei_mismatch_swap
C0000168,LINE-000000433,voice,EIP-5357132139,308710697261728.0,914200499329053.0,1,0,0,1,imei_mismatch_swap
C0000178,LINE-000000454,5g_home_internet,EIP-9130190140,274239193664585.0,812843711048531.0,1,0,0,1,
C0000189,LINE-000000480,voice,EIP-5229158420,101618173050674.0,104423230217127.0,1,0,0,1,
C0000195,LINE-000000496,voice,EIP-5519534744,136940998269248.0,64865607867102.0,1,0,0,1,imei_mismatch_swap
C0000195,LINE-000000498,voice,EIP-5540828592,64865607867102.0,136940998269248.0,1,0,0,1,imei_mismatch_swap
C0000206,LINE-000000518,voice,EIP-9213117167,676111394580963.0,733351738022402.0,1,0,0,1,
C0000218,LINE-000000547,voice,EIP-1286355864,365534160879565.0,970117474558882.0,1,0,0,1,imei_mismatch_swap
C0000218,LINE-000000548,voice,EIP-1810758586,970117474558882.0,365534160879565.0,1,0,0,1,imei_mismatch_swap
C0000222,LINE-000000557,5g_home_internet,EIP-1202702587,86326344577298.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000230,LINE-000000573,voice,EIP-8810010883,449883557482686.0,205437861875005.0,1,0,0,1,
C0000233,LINE-000000580,voice,EIP-3052219890,866062904523162.0,578244661211951.0,1,0,0,1,imei_mismatch_swap
C0000233,LINE-000000581,voice,EIP-2617650176,578244661211951.0,866062904523162.0,1,0,0,1,imei_mismatch_swap
C0000237,LINE-000000592,voice,EIP-2633099256,336863326442241.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000237,LINE-000000593,voice,EIP-3125483058,385436290140230.0,879677427350448.0,1,0,0,1,
C0000239,LINE-000000596,voice,EIP-1894266313,411673245644605.0,565791434068185.0,1,0,0,1,imei_mismatch_swap
C0000239,LINE-000000597,voice,EIP-5793507229,565791434068185.0,411673245644605.0,1,0,0,1,imei_mismatch_swap
C0000242,LINE-000000603,voice,EIP-6777936111,421287144383871.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000242,LINE-000000604,voice,EIP-7292956049,770384167677995.0,421287144383871.0,1,0,0,1,imei_mismatch_swap
C0000245,LINE-000000611,voice,EIP-9516945782,277317019702021.0,157198039750304.0,1,0,0,1,imei_mismatch_swap
C0000245,LINE-000000612,voice,EIP-8352074009,157198039750304.0,277317019702021.0,1,0,0,1,imei_mismatch_swap
C0000247,LINE-000000616,voice,EIP-9356930689,245325555887019.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000251,LINE-000000628,voice,EIP-1355925092,423249360210991.0,156049429256005.0,1,0,0,1,imei_mismatch_swap
C0000251,LINE-000000629,voice,EIP-4065999075,156049429256005.0,423249360210991.0,1,0,0,1,imei_mismatch_swap
C0000253,LINE-000000632,voice,EIP-5671889398,35512225318962.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000258,LINE-000000639,voice,EIP-6563936366,990297803767594.0,332171120333834.0,1,0,0,1,imei_mismatch_swap
C0000258,LINE-000000640,voice,EIP-5341319959,332171120333834.0,990297803767594.0,1,0,0,1,imei_mismatch_swap
C0000263,LINE-000000651,voice,EIP-2790293362,753391109466935.0,440062694498333.0,1,0,0,1,
C0000268,LINE-000000660,voice,EIP-1074278516,311670640384704.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000270,LINE-000000665,voice,EIP-3909121507,297586363564148.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000277,LINE-000000679,voice,EIP-9137874288,380581088259426.0,597348400086522.0,1,0,0,1,
C0000292,LINE-000000713,voice,EIP-9744486717,782691410427236.0,731803165726717.0,1,0,0,1,imei_mismatch_swap
C0000292,LINE-000000715,voice,EIP-9340090275,731803165726717.0,782691410427236.0,1,0,0,1,imei_mismatch_swap
C0000294,LINE-000000718,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000295,LINE-000000721,voice,EIP-1529332187,747307407715900.0,17648390944140.0,1,0,0,1,
C0000297,LINE-000000725,voice,EIP-3596402238,752882036047990.0,586968952136917.0,1,0,0,1,imei_mismatch_swap
C0000297,LINE-000000726,voice,EIP-3753429062,586968952136917.0,752882036047990.0,1,0,0,1,imei_mismatch_swap
C0000299,LINE-000000730,voice,EIP-9699341362,124558163084768.0,50529529376038.0,1,0,0,1,
C0000319,LINE-000000781,5g_home_internet,EIP-5215717510,380249256592857.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000330,LINE-000000803,voice,EIP-5775303606,238287852770967.0,741371163601839.0,1,0,0,1,
C0000330,LINE-000000804,voice,EIP-2949181693,668182940761634.0,744397275147006.0,1,0,0,1,
C0000333,LINE-000000812,voice,EIP-6467581138,102346724833853.0,653086293469311.0,1,0,0,1,
C0000333,LINE-000000813,voice,EIP-6272190900,368700566889377.0,653086293469311.0,1,0,0,1,
C0000334,LINE-000000815,voice,EIP-1442507344,318294873951171.0,615782740638849.0,1,0,0,1,imei_mismatch_swap
C0000334,LINE-000000816,voice,EIP-3977801164,615782740638849.0,318294873951171.0,1,0,0,1,imei_mismatch_swap
C0000343,LINE-000000829,voice,EIP-4058091578,896563060772769.0,381024946399811.0,1,0,0,1,imei_mismatch_swap
C0000343,LINE-000000830,voice,EIP-5249094000,381024946399811.0,896563060772769.0,1,0,0,1,imei_mismatch_swap
C0000346,LINE-000000838,voice,EIP-2790517736,433185021070485.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000348,LINE-000000841,voice,EIP-2814002972,444950586663747.0,304748420567295.0,1,0,0,1,
C0000349,LINE-000000844,voice,EIP-1332911703,429221037167915.0,978445408263766.0,1,0,0,1,imei_mismatch_swap
C0000349,LINE-000000845,voice,EIP-6835813908,978445408263766.0,429221037167915.0,1,0,0,1,imei_mismatch_swap
C0000352,LINE-000000852,voice,EIP-4179935543,851142901242315.0,632316515644892.0,1,0,0,1,imei_mismatch_swap
C0000352,LINE-000000853,voice,EIP-1969105626,632316515644892.0,851142901242315.0,1,0,0,1,imei_mismatch_swap
C0000360,LINE-000000873,voice,EIP-3092012147,589192261751385.0,283411532178762.0,1,0,0,1,imei_mismatch_swap
C0000360,LINE-000000874,voice,EIP-1922785853,68921605701671.0,589192261751385.0,1,0,0,1,imei_mismatch_swap
C0000362,LINE-000000881,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000374,LINE-000000905,5g_home_internet,EIP-8796299584,742408313516429.0,573787630179503.0,1,0,0,1,
C0000376,LINE-000000910,5g_home_internet,EIP-5168645400,334960030621533.0,800681062318747.0,1,0,0,1,
C0000387,LINE-000000939,5g_home_internet,EIP-8631216297,734085553798934.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000390,LINE-000000943,voice,EIP-6188692289,617439168678605.0,183378863713775.0,1,0,0,1,
C0000390,LINE-000000945,voice,EIP-5117251281,942130582429836.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000393,LINE-000000955,voice,EIP-3596620452,150261272233118.0,5458956540373.0,1,0,0,1,imei_mismatch_swap
C0000393,LINE-000000956,voice,EIP-8354505973,5458956540373.0,150261272233118.0,1,0,0,1,imei_mismatch_swap
C0000407,LINE-000000989,voice,EIP-5752541931,808422546924797.0,632003798029646.0,1,0,0,1,imei_mismatch_swap
C0000407,LINE-000000990,voice,EIP-2231285240,632003798029646.0,808422546924797.0,1,0,0,1,imei_mismatch_swap
C0000419,LINE-000001020,voice,EIP-6504289483,472734685457983.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000438,LINE-000001064,5g_home_internet,EIP-6113651331,35915829890988.0,437544242283138.0,1,0,0,1,
C0000446,LINE-000001080,voice,EIP-5628922785,574178143899477.0,696413453503250.0,1,0,0,1,
C0000447,LINE-000001081,voice,EIP-1953781355,3634847008629.0,474155883328683.0,1,0,0,1,
C0000451,LINE-000001092,voice,EIP-8140983491,881750603745355.0,650661565642455.0,1,0,0,1,
C0000452,LINE-000001097,voice,EIP-5103325412,921619647689426.0,716218461334885.0,1,0,0,1,imei_mismatch_swap
C0000452,LINE-000001099,voice,EIP-8397010513,516929403486431.0,921619647689426.0,1,0,0,1,imei_mismatch_swap
C0000470,LINE-000001136,5g_home_internet,EIP-4212986334,926647027655836.0,993797743098038.0,1,0,0,1,
C0000472,LINE-000001138,voice,EIP-7905691047,974709426189732.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000478,LINE-000001156,5g_home_internet,EIP-4462883231,138091956764463.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000486,LINE-000001174,voice,EIP-6490450634,483642944722437.0,475398201753506.0,1,0,0,1,
C0000498,LINE-000001204,5g_home_internet,EIP-8251109491,315055796372802.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000503,LINE-000001216,voice,EIP-8552093866,907420545756124.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000508,LINE-000001226,voice,EIP-1431553273,553007969997510.0,746435199856758.0,1,0,0,1,
C0000508,LINE-000001227,5g_home_internet,EIP-3381868351,746435199856758.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000514,LINE-000001240,voice,EIP-7630136762,252469148330937.0,627285750708494.0,1,0,0,1,
C0000515,LINE-000001245,voice,EIP-4056876137,667480197560476.0,569862988841698.0,1,0,0,1,
C0000516,LINE-000001246,voice,EIP-5199638271,10198089155686.0,685571229357804.0,1,0,0,1,imei_mismatch_swap
C0000516,LINE-000001247,voice,EIP-2935791707,685571229357804.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000518,LINE-000001254,5g_home_internet,EIP-5966344429,839335647385858.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000524,LINE-000001275,5g_home_internet,EIP-1107708983,433561725103155.0,11671932704945.0,1,0,0,1,
C0000527,LINE-000001279,voice,EIP-1340817289,720933390573016.0,516122443181948.0,1,0,0,1,
C0000543,LINE-000001328,voice,EIP-8466878711,452680635666650.0,280093480655730.0,1,0,0,1,
C0000551,LINE-000001353,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000554,LINE-000001356,voice,EIP-2642502328,165073420653085.0,461995638311592.0,1,0,0,1,imei_mismatch_swap
C0000554,LINE-000001357,voice,EIP-6373836339,461995638311592.0,165073420653085.0,1,0,0,1,imei_mismatch_swap
C0000555,LINE-000001360,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000557,LINE-000001362,voice,EIP-2967892933,830901893013726.0,830901893013726.0,0,0,0,0,imei_mismatch_swap
C0000557,LINE-000001363,voice,EIP-8761206975,426051096077092.0,426051096077092.0,0,0,0,0,imei_mismatch_swap
C0000565,LINE-000001382,voice,EIP-4626645990,25378970882197.0,994951219378227.0,1,0,0,1,
C0000575,LINE-000001408,voice,EIP-9816898375,682164564478443.0,828516575549180.0,1,0,0,1,imei_mismatch_swap
C0000575,LINE-000001410,voice,EIP-1831202572,828516575549180.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000577,LINE-000001415,voice,EIP-6421349448,905086679666058.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000578,LINE-000001420,voice,EIP-2438264796,375915671325471.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000590,LINE-000001444,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000594,LINE-000001455,voice,EIP-7473325915,247990429132742.0,571163143386666.0,1,0,0,1,imei_mismatch_swap
C0000594,LINE-000001456,voice,EIP-2179870058,571163143386666.0,247990429132742.0,1,0,0,1,imei_mismatch_swap
C0000604,LINE-000001472,voice,EIP-5615800090,448358703663284.0,985457301832079.0,1,0,0,1,imei_mismatch_swap
C0000604,LINE-000001474,voice,EIP-9542645012,985457301832079.0,448358703663284.0,1,0,0,1,imei_mismatch_swap
C0000604,LINE-000001475,5g_home_internet,EIP-1038156823,176888916098345.0,448358703663284.0,1,0,0,1,
C0000607,LINE-000001482,voice,EIP-3947740383,134391873505148.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000615,LINE-000001497,voice,EIP-3870030254,594090963665703.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000617,LINE-000001502,voice,EIP-6109681814,876659047212244.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000627,LINE-000001522,5g_home_internet,EIP-1305549505,607652839578694.0,455873210220615.0,1,0,0,1,
C0000635,LINE-000001540,voice,EIP-2378373503,603828505636485.0,48639740052765.0,1,0,0,1,imei_mismatch_swap
C0000635,LINE-000001541,voice,EIP-4006146986,771749228164528.0,603828505636485.0,1,0,0,1,imei_mismatch_swap
C0000635,LINE-000001542,voice,EIP-5577260428,48639740052765.0,771749228164528.0,1,0,0,1,imei_mismatch_swap
C0000648,LINE-000001569,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000650,LINE-000001572,voice,EIP-4882309354,30778266524289.0,846359305607995.0,1,0,0,1,imei_mismatch_swap
C0000650,LINE-000001573,voice,EIP-5720721015,320191719614424.0,320191719614424.0,0,0,0,0,imei_mismatch_swap
C0000650,LINE-000001574,voice,EIP-3554569206,846359305607995.0,320191719614424.0,1,0,0,1,imei_mismatch_swap
C0000653,LINE-000001578,voice,EIP-2730479531,120645230458560.0,889177806784416.0,1,0,0,1,
C0000659,LINE-000001597,voice,EIP-7102128866,963710304856733.0,471874155287486.0,1,0,0,1,
C0000667,LINE-000001616,voice,EIP-6342649021,821443650737943.0,895649969339124.0,1,0,0,1,
C0000668,LINE-000001622,5g_home_internet,EIP-6633520096,434900162771953.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000669,LINE-000001624,voice,EIP-4625693164,867544969406154.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000678,LINE-000001646,5g_home_internet,EIP-3076994503,261688446156576.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000681,LINE-000001654,5g_home_internet,EIP-5876219140,62482649911946.0,970261893263552.0,1,0,0,1,
C0000686,LINE-000001663,5g_home_internet,EIP-4458700749,92041268118732.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000695,LINE-000001686,voice,EIP-7852889518,948184489198817.0,50988067175189.0,1,0,0,1,imei_mismatch_swap
C0000695,LINE-000001687,voice,EIP-2751865303,50988067175189.0,948184489198817.0,1,0,0,1,imei_mismatch_swap
C0000695,LINE-000001689,5g_home_internet,EIP-8537147034,753685064402809.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000702,LINE-000001704,voice,EIP-9801447779,918118515453163.0,674502106189708.0,1,0,0,1,imei_mismatch_swap
C0000702,LINE-000001705,voice,EIP-2433853937,674502106189708.0,918118515453163.0,1,0,0,1,imei_mismatch_swap
C0000704,LINE-000001708,voice,EIP-9518031758,412176316021509.0,962238397947573.0,1,0,0,1,imei_mismatch_swap
C0000704,LINE-000001709,voice,EIP-4579532667,962238397947573.0,412176316021509.0,1,0,0,1,imei_mismatch_swap
C0000709,LINE-000001720,voice,EIP-1922357056,560022492080973.0,859369154775253.0,1,0,0,1,imei_mismatch_swap
C0000709,LINE-000001721,voice,EIP-1069823015,859369154775253.0,560022492080973.0,1,0,0,1,imei_mismatch_swap
C0000713,LINE-000001735,voice,EIP-6788593509,52702758223159.0,428856651098207.0,1,0,0,1,
C0000717,LINE-000001743,voice,EIP-2571002613,261580376362681.0,28791338550565.0,1,0,0,1,imei_mismatch_swap
C0000717,LINE-000001744,voice,EIP-3472956974,28791338550565.0,261580376362681.0,1,0,0,1,imei_mismatch_swap
C0000718,LINE-000001746,voice,EIP-9268124096,218186202706174.0,910990828391842.0,1,0,0,1,imei_mismatch_swap
C0000718,LINE-000001748,voice,EIP-2943992359,910990828391842.0,218186202706174.0,1,0,0,1,imei_mismatch_swap
C0000732,LINE-000001776,voice,EIP-5361142483,546709702951774.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000743,LINE-000001800,voice,EIP-3365420315,351150472036870.0,106281454642776.0,1,0,0,1,
C0000753,LINE-000001825,voice,EIP-8985565243,769438397715730.0,68956605289447.0,1,0,0,1,imei_mismatch_swap
C0000753,LINE-000001826,voice,EIP-4213745029,68956605289447.0,769438397715730.0,1,0,0,1,imei_mismatch_swap
C0000755,LINE-000001830,voice,EIP-4341264065,660645053161248.0,548833199732845.0,1,0,0,1,imei_mismatch_swap
C0000755,LINE-000001831,voice,EIP-3084603854,548833199732845.0,660645053161248.0,1,0,0,1,imei_mismatch_swap
C0000761,LINE-000001843,5g_home_internet,EIP-1676366321,529152372742778.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000767,LINE-000001862,voice,EIP-5718313485,920318534751915.0,150282988154075.0,1,0,0,1,
C0000767,LINE-000001864,voice,EIP-4489582315,267295433559178.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000769,LINE-000001867,5g_home_internet,EIP-3887385274,435130793186267.0,884487517997463.0,1,0,0,1,
C0000779,LINE-000001887,5g_home_internet,EIP-7526636675,917303599084857.0,911059325745544.0,1,0,0,1,
C0000783,LINE-000001896,voice,EIP-8384107144,400854068329055.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000791,LINE-000001911,5g_home_internet,EIP-1756745260,29451076093341.0,883021578873021.0,1,0,0,1,
C0000793,LINE-000001913,voice,EIP-3524404018,372385102594451.0,5911194500496.0,1,0,0,1,imei_mismatch_swap
C0000793,LINE-000001914,voice,EIP-3413538707,5911194500496.0,372385102594451.0,1,0,0,1,imei_mismatch_swap
C0000796,LINE-000001920,voice,EIP-4295697035,444985788627486.0,474863166408812.0,1,0,0,1,
C0000798,LINE-000001925,voice,EIP-7891937636,861248672409689.0,489469907343494.0,1,0,0,1,imei_mismatch_swap
C0000798,LINE-000001926,voice,EIP-4662558421,489469907343494.0,861248672409689.0,1,0,0,1,imei_mismatch_swap
C0000799,LINE-000001928,voice,EIP-7997768135,409083261729092.0,481096012818629.0,1,0,0,1,imei_mismatch_swap
C0000799,LINE-000001929,voice,EIP-5539251627,481096012818629.0,409083261729092.0,1,0,0,1,imei_mismatch_swap
C0000802,LINE-000001935,5g_home_internet,EIP-3183881320,333668496532023.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000812,LINE-000001953,voice,EIP-9083334065,697509999673357.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000815,LINE-000001959,voice,EIP-4971249317,579372543493328.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000815,LINE-000001961,voice,EIP-3572886952,982210526677724.0,579372543493328.0,1,0,0,1,
C0000816,LINE-000001963,voice,EIP-9285705336,444816554127847.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000823,LINE-000001983,voice,EIP-8997971327,304592873233688.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000824,LINE-000001986,voice,EIP-3236553432,226132222016077.0,541652456205920.0,1,0,0,1,
C0000824,LINE-000001987,voice,EIP-7003372923,286541355755881.0,226132222016077.0,1,0,0,1,
C0000826,LINE-000001990,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000841,LINE-000002016,voice,EIP-5621166693,844627800351636.0,144751107642362.0,1,0,0,1,
C0000848,LINE-000002030,voice,EIP-4636235693,374541480987202.0,417935620583934.0,1,0,0,1,
C0000848,LINE-000002032,voice,EIP-3615350109,417935620583934.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000859,LINE-000002050,voice,EIP-3381707319,345021099579748.0,363058912910179.0,1,0,0,1,
C0000866,LINE-000002070,voice,EIP-7567232834,409472309943668.0,373651707497897.0,1,0,0,1,
C0000866,LINE-000002071,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000870,LINE-000002079,voice,EIP-5388134250,39895174943964.0,372617087714510.0,1,0,0,1,imei_mismatch_swap
C0000870,LINE-000002080,voice,EIP-2880248375,281996102839432.0,372617087714510.0,1,0,0,1,
C0000870,LINE-000002082,voice,EIP-6248611112,372617087714510.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000880,LINE-000002107,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000884,LINE-000002119,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000885,LINE-000002125,voice,EIP-5584738921,249708377164887.0,954776152456856.0,1,0,0,1,
C0000885,LINE-000002129,voice,EIP-2898453089,886551042864208.0,954776152456856.0,1,0,0,1,
C0000888,LINE-000002144,5g_home_internet,EIP-3184102937,467606934041028.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000894,LINE-000002154,voice,EIP-9663625777,423410782177883.0,487256212795260.0,1,0,0,1,imei_mismatch_swap
C0000894,LINE-000002155,voice,,,,0,1,0,1,missing_usage_imei_capture_failure
C0000894,LINE-000002156,voice,EIP-6487269109,487256212795260.0,423410782177883.0,1,0,0,1,imei_mismatch_swap
C0000896,LINE-000002160,voice,EIP-2340795713,790863234097387.0,123916380228540.0,1,0,0,1,imei_mismatch_swap
C0000896,LINE-000002163,voice,EIP-7748202922,123916380228540.0,790863234097387.0,1,0,0,1,imei_mismatch_swap
C0000912,LINE-000002204,5g_home_internet,EIP-9120080745,971609276878128.0,108866539169311.0,1,0,0,1,
C0000919,LINE-000002224,voice,EIP-9350399992,919051070480234.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000924,LINE-000002237,voice,EIP-2196650508,41663934547306.0,41663934547306.0,0,0,0,0,imei_mismatch_swap
C0000924,LINE-000002238,voice,EIP-2465994221,516233687951034.0,41663934547306.0,1,0,0,1,imei_mismatch_swap
C0000934,LINE-000002259,voice,EIP-4623092221,517742185765368.0,137284586865973.0,1,0,0,1,imei_mismatch_swap
C0000934,LINE-000002260,voice,EIP-8396868727,137284586865973.0,517742185765368.0,1,0,0,1,imei_mismatch_swap
C0000935,LINE-000002261,voice,EIP-9870241359,157318490076203.0,730955486500655.0,1,0,0,1,imei_mismatch_swap
C0000935,LINE-000002262,voice,EIP-7334087371,730955486500655.0,157318490076203.0,1,0,0,1,imei_mismatch_swap
C0000936,LINE-000002265,voice,EIP-4667315916,411369366011097.0,109167083605584.0,1,0,0,1,
C0000939,LINE-000002269,voice,EIP-1020188545,21239386416714.0,622698384200503.0,1,0,0,1,imei_mismatch_swap
C0000939,LINE-000002270,voice,EIP-1172436207,45832843720350.0,21239386416714.0,1,0,0,1,imei_mismatch_swap
C0000944,LINE-000002284,5g_home_internet,EIP-9852004694,444484444131196.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000949,LINE-000002298,voice,EIP-2540980550,749269812110389.0,276741072851697.0,1,0,0,1,imei_mismatch_swap
C0000949,LINE-000002299,voice,EIP-5618417034,276741072851697.0,749269812110389.0,1,0,0,1,imei_mismatch_swap
C0000965,LINE-000002333,voice,EIP-8393953757,69670647547093.0,25884754513563.0,1,0,0,1,
C0000965,LINE-000002334,voice,EIP-4991531059,814858247447103.0,69670647547093.0,1,0,0,1,
C0000981,LINE-000002376,voice,EIP-2965767685,862931655039806.0,342232671925453.0,1,0,0,1,imei_mismatch_swap
C0000981,LINE-000002380,voice,EIP-6842993840,342232671925453.0,862931655039806.0,1,0,0,1,imei_mismatch_swap
C0000985,LINE-000002390,voice,EIP-7602241312,361262528398401.0,737629349885857.0,1,0,0,1,imei_mismatch_swap
C0000985,LINE-000002391,voice,EIP-7353498705,737629349885857.0,361262528398401.0,1,0,0,1,imei_mismatch_swap
C0000986,LINE-000002393,voice,EIP-9969545391,971667978119831.0,550887242134072.0,1,0,0,1,imei_mismatch_swap
C0000986,LINE-000002394,voice,EIP-8187068063,550887242134072.0,971667978119831.0,1,0,0,1,imei_mismatch_swap
C0000990,LINE-000002399,5g_home_internet,EIP-3242865795,331602761994248.0,,0,1,0,1,missing_usage_imei_capture_failure
C0000999,LINE-000002417,5g_home_internet,EIP-8708242975,746340648489619.0,933799300311522.0,1,0,0,1,
C0001004,LINE-000002427,voice,EIP-6207833677,978170497449366.0,374976317430301.0,1,0,0,1,imei_mismatch_swap
C0001004,LINE-000002428,voice,EIP-1915374559,374976317430301.0,978170497449366.0,1,0,0,1,imei_mismatch_swap
C0001009,LINE-000002437,voice,EIP-4216974596,429190249388998.0,15800121330434.0,1,0,0,1,imei_mismatch_swap
C0001009,LINE-000002438,voice,EIP-7387952139,88529833662723.0,296443841299417.0,1,0,0,1,imei_mismatch_swap
C0001009,LINE-000002439,voice,EIP-2566047135,296443841299417.0,88529833662723.0,1,0,0,1,imei_mismatch_swap
